PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
ANIDRO;b;2019;REGIÃO NORTE;RONDONIA;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORTE;ACRE;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORTE;RORAIMA;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORTE;PARA;7777,52898035689;0;0;0;0;27397,5293577462;;;;;;;35175,0583381031
ANIDRO;b;2019;REGIÃO NORTE;AMAPA;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORTE;TOCANTINS;0;0;0;0;75388,1449426683;49861,2339373659;;;;;;;125249,378880034
ANIDRO;b;2019;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;51674,4450804154;106677,615150924;;;;;;;158352,06023134
ANIDRO;b;2019;REGIÃO NORDESTE;PIAUI;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO NORDESTE;RIO GRANDE DO NORTE;9988,58397227446;1760,82321196073;0;0;0;0;;;;;;;11749,4071842352
ANIDRO;b;2019;REGIÃO NORDESTE;PARAIBA;82513,0230773585;52449,602797713;56669,2496870813;0;0;0;;;;;;;191631,875562153
ANIDRO;b;2019;REGIÃO NORDESTE;PERNAMBUCO;65118,072546812;42268,3678539755;0;70,2195777013215;0;0;;;;;;;107456,659978489
ANIDRO;b;2019;REGIÃO NORDESTE;ALAGOAS;196645,398680395;137700,97555146;81837,4898576613;20602,8983501796;0;0;;;;;;;436786,762439696
ANIDRO;b;2019;REGIÃO NORDESTE;SERGIPE;21656,8650267003;14605,9426242397;0;0;0;0;;;;;;;36262,80765094
ANIDRO;b;2019;REGIÃO NORDESTE;BAHIA;0;0;0;603,822954078006;29787,504638744;84098,1526791499;;;;;;;114489,480271972
ANIDRO;b;2019;REGIÃO SUDESTE;MINAS GERAIS;0;0;17337,0715844692;256749,331706366;756108,795058716;995830,96102197;;;;;;;2026026,15937152
ANIDRO;b;2019;REGIÃO SUDESTE;ESPÍRITO SANTO;50080,0128312378;4941,72479510903;0;4152,05016762377;58396,0952782303;112699,937730758;;;;;;;230269,820802959
ANIDRO;b;2019;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO SUDESTE;SÃO PAULO;16925,3964160592;15770,8303194601;186329,492348431;1577772,0190959;4844791,6685012;5480275,46906351;;;;;;;12121864,8757446
ANIDRO;b;2019;REGIÃO SUL;PARANÁ;0;12768,4527665784;79659,7897941341;199385,515796889;417408,844748313;480146,250951336;;;;;;;1189368,85405725
ANIDRO;b;2019;REGIÃO SUL;SANTA CATARINA;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO SUL;RIO GRANDE DO SUL;0;0;0;0;0;0;;;;;;;0
ANIDRO;b;2019;REGIÃO CENTRO OESTE;MATO GROSSO DO SUL;145593,727789065;32898,8470755471;98726,2354783725;284248,642970809;585089,114204306;549003,088302817;;;;;;;1695559,65582092
ANIDRO;b;2019;REGIÃO CENTRO OESTE;MATO GROSSO;208483,114971664;72821,31243435;124869,813255172;156869,744067125;463180,159384101;1033176,0395504;;;;;;;2059400,18366282
ANIDRO;b;2019;REGIÃO CENTRO OESTE;GOIAS;42317,6423229572;36784,6364797122;26651,2293457956;168002,748652406;565943,567713084;710289,885336537;;;;;;;1549989,70985049
ANIDRO;b;2019;REGIÃO CENTRO OESTE;BRASILIA;0;0;0;0;0;0;;;;;;;0
